uid,gropName,locA,locB,nameA,nameB,ipA,ipB,alramMA,alramMB,alramSA,alramSB,mode
1,,유선반,유선반,A,B,10.20.8.53,10.20.8.55,1,1,1,1,F
2,,유선반,유선반,A,B,10.20.8.52,10.20.8.53,1,1,1,1,F
